WSms;WSkts
43.72778;85.00000432
48.87222;94.99999568
29.94165;58.20191145
43.72778;85.00000432
46.3;90
51.44444;99.99999136
46.3;90
36.01111;69.99999784
48.87222;94.99999568
48.87222;94.99999568
64.30556;125.0000086
46.3;90
35.2018;68.42682505
41.15556;80.00000864
38.58333;74.99999352
60.74938;118.0873477
46.3;90
46.3;90
48.87222;94.99999568
33.43889;65.00000216
43.72778;85.00000432
58.87026;114.4346307
28.29445;55.0000108
58.87026;114.4346307
28.29445;55.0000108
33.43889;65.00000216
23.15;45
30.86667;60.00000648
25.72222;49.99999568
43.72778;85.00000432
64.30556;125.0000086
43.72778;85.00000432
48.87222;94.99999568
48.87222;94.99999568
46.7885;90.94956803
53.02025;103.063121
46.7885;90.94956803
51.44444;99.99999136
64.30556;125.0000086
46.3;90
36.01111;69.99999784
64.30556;125.0000086
46.3;90
20.57778;40.00000432
38.58333;74.99999352
54.01667;105.0000065
54.01667;105.0000065
53.02025;103.063121
43.72778;85.00000432
36.01111;69.99999784
35.2018;68.42682505
46.3;90
64.30556;125.0000086
51.44444;99.99999136
46.3;90
46.3;90
51.44444;99.99999136
36.01111;69.99999784
51.44444;99.99999136
54.01667;105.0000065
51.44444;99.99999136
58.87026;114.4346307
60.74938;118.0873477
46.3;90
54.01667;105.0000065
36.01111;69.99999784
25.72222;49.99999568
46.3;90
46.3;90
51.44444;99.99999136
46.3;90
64.30556;125.0000086
51.44444;99.99999136
48.87222;94.99999568
46.3;90
38.58333;74.99999352
46.3;90
36.01111;69.99999784
56.58889;110.0000022
51.44444;99.99999136
46.3;90
36.01111;69.99999784
46.3;90
46.3;90
41.15556;80.00000864
46.7885;90.94956803
43.72778;85.00000432
41.15556;80.00000864
41.15556;80.00000864
51.44444;99.99999136
53.02025;103.063121
54.01667;105.0000065
32.63041;63.42844276
48.87222;94.99999568
43.72778;85.00000432
46.3;90
54.01667;105.0000065
51.44444;99.99999136
23.15;45
33.43889;65.00000216
46.7885;90.94956803
54.01667;105.0000065
60.74938;118.0873477
38.58333;74.99999352
46.3;90
46.3;90
43.72778;85.00000432
25.72222;49.99999568
44.60794;86.71089849
46.3;90
41.15556;80.00000864
51.44444;99.99999136
46.3;90
51.44444;99.99999136
51.44444;99.99999136
46.3;90
60.74938;118.0873477
30.86667;60.00000648
27.11203;52.70157019
48.87222;94.99999568
38.58333;74.99999352
36.01111;69.99999784
46.3;90
38.58333;74.99999352
46.3;90
40.05803;77.86658099
35.2018;68.42682505
33.43889;65.00000216
56.58889;110.0000022
36.01111;69.99999784
54.01667;105.0000065
54.01667;105.0000065
36.01111;69.99999784
54.01667;105.0000065
54.01667;105.0000065
38.58333;74.99999352
51.44444;99.99999136
46.3;90
51.44444;99.99999136
51.44444;99.99999136
43.72778;85.00000432
33.43889;65.00000216
18.00556;35.00000864
28.29445;55.0000108
48.87222;94.99999568
36.01111;69.99999784
54.01667;105.0000065
36.01111;69.99999784
58.87026;114.4346307
48.87222;94.99999568
29.94165;58.20191145
38.58333;74.99999352
30.86667;60.00000648
38.58333;74.99999352
43.72778;85.00000432
50.9901;99.11682505
43.72778;85.00000432
51.44444;99.99999136
48.87222;94.99999568
27.11203;52.70157019
46.3;90
46.3;90
23.15;45
28.29445;55.0000108
56.58889;110.0000022
54.01667;105.0000065
46.3;90
43.72778;85.00000432
38.58333;74.99999352
43.72778;85.00000432
43.72778;85.00000432
43.72778;85.00000432
28.29445;55.0000108
23.15;45
43.72778;85.00000432
54.01667;105.0000065
51.44444;99.99999136
53.02025;103.063121
51.44444;99.99999136
38.58333;74.99999352
41.15556;80.00000864
51.44444;99.99999136
29.94165;58.20191145
51.44444;99.99999136
54.01667;105.0000065
38.58333;74.99999352
60.74938;118.0873477
48.87222;94.99999568
38.58333;74.99999352
33.43889;65.00000216
64.30556;125.0000086
51.44444;99.99999136
51.44444;99.99999136
